"","ID","Method","Trait.name","SNP","Chromosome","Position","P.value"
"1",1,"GLM","SRD","NsiI.TP370868",1,60850564,0.000373739161837198
"2",2,"GLM","SRD","NsiI.TP707198",1,66770322,0.000206074059583415
"3",3,"GLM","SRD","NsiI.TP432172",1,71698309,0.000235307035844337
"4",4,"GLM","SRD","PstI.TP52592",1,76810927,0.000198108869414037
"5",5,"GLM","SRD","PstI.TP891669",10,54262693,0.000250794828455408
"6",6,"GLM","SRD","NsiI.TP350028",10,56058607,0.0000704855875327832
"7",7,"GLM","SRD","NsiI.TP559543",10,56346801,0.0000500024349336083
"8",8,"GLM","SRD","PstI.TP142614",11,1193,0.000210342240399332
"9",9,"GLM","SRD","PstI.TP184692",11,1512,0.0000931049992474651
"10",10,"GLM","SRD","PstI.TP772551",11,5330,0.000391762659519837
"11",11,"GLM","SRD","PstI.TP1016686",11,7060,0.00023400021346318
"12",12,"GLM","SRD","PstI.TP1193608",11,8440,0.000301562842678818
"13",13,"GLM","SRD","NsiI.TP27091",11,9422,0.000157926262655635
"14",14,"GLM","SRD","NsiI.TP51372",11,9738,0.000151572318187457
"15",15,"GLM","SRD","NsiI.TP56527",11,9790,0.000182376379133247
"16",16,"GLM","SRD","NsiI.TP229027",11,11698,0.000495666796650269
"17",17,"GLM","SRD","NsiI.TP335176",11,12821,0.000207088002952476
"18",18,"GLM","SRD","NsiI.TP343288",11,12901,0.000385589637755682
"19",19,"GLM","SRD","NsiI.TP561618",11,16089,0.000136361386049652
"20",20,"GLM","SRD","NsiI.TP695292",11,17688,0.000172721857784704
"21",21,"GLM","SRD","NsiI.TP698207",11,17727,0.000455855511181938
"22",22,"GLM","SRD","NsiI.TP722177",11,18024,0.00000473437971310876
"23",23,"GLM","SRD","NsiI.TP267424",2,445451,0.0000499048705795027
"24",24,"GLM","SRD","PstI.TP24974",2,2834442,0.000364946983723139
"25",25,"GLM","SRD","PstI.TP251932",2,63653245,0.000284642083178576
"26",26,"GLM","SRD","NsiI.TP206149",2,64247128,0.000242715725864906
"27",27,"GLM","SRD","PstI.TP410173",3,5585945,0.0000730620181429675
"28",28,"GLM","SRD","PstI.TP842828",3,8783224,0.000432406671747461
"29",29,"GLM","SRD","GFSSContig17760_1991",3,19940061,0.000221635987303659
"30",30,"GLM","SRD","PstI.TP1095590",3,69404347,0.000417164019150534
"31",31,"GLM","SRD","PstI.TP314411",4,3574691,0.000262460203325014
"32",32,"GLM","SRD","PstI.TP183270",4,51849104,0.0003175783802752
"33",33,"GLM","SRD","PstI.TP804706",4,54445856,0.000255435419538316
"34",34,"GLM","SRD","PstI.TP410557",4,60353279,0.000128393868713792
"35",35,"GLM","SRD","PstI.TP1235909",4,64295006,0.000347955370409589
"36",36,"GLM","SRD","NsiI.TP652655",4,66508806,0.0000315215432769402
"37",37,"GLM","SRD","NsiI.TP312416",5,63829769,0.000420059369738001
"38",38,"GLM","SRD","NsiI.TP436473",6,1386687,0.000169376334590052
