"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD"
"2104","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2949","PstI.TP863331",1,161269,0.513978408400241,0.311803617439322,0.79827334053405,0.37038225805962,0.143014514931572,0.586564256967949,0.50573185043926,0.427755094458043,0.0126520402347987,0.0823420761171599,0.586096641202666,0.178370724093645,0.728857982098493,0.405215338906304,0.306211566756692,0.487748994271031,0.159120692235269,0.426204216502725,0.719424933078852,0.259081106400884,0.312081589711482,0.373460698833889,0.97128785817827,0.827290284074144,0.259360215763653,0.663176725295965,0.186699011229103,0.393354987469164
"1936","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3121","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","NsiI.TP148773",1,285352,0.134152050407832,0.152652166930613,0.0493958150547495,0.0414436425548875,0.00851055236156684,0.0849848105921275,0.286191284077776,0.265615140053751,0.176441760665991,0.120145184009554,0.00296586668425499,0.563892439085579,0.221499163222713,0.0257284874319414,0.734256753251191,0.703635646778381,0.892491697938448,0.908984248310365,0.980594487831584,0.822271408307839,0.517378903325024,0.542481409714911,0.666128843868121,0.758324026039192,0.9931941053091,0.27296537474131,0.600483165887916,0.942478631914178
"835","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1938","PstI.TP425356",1,569039,0.754382248510596,0.966885455279183,0.745748029395766,0.774358446480638,0.513897288911432,0.339700890141107,0.397052925102166,0.180576464257089,0.091787279615747,1.29584137911822,0.623697481655637,0.947393256782225,0.507467911584701,0.263727394694665,0.17604259083485,0.107923133084383,0.179577520425522,0.168128583307442,0.306268767680904,0.457403106523945,0.40081786916114,0.659817053044131,0.809492296911353,0.0506009442172703,0.237849650909155,0.1128773339377,0.310836555990628,0.544844542766768
"3292","PstI.TP999740",1,569491,0.00692461614430179,0.0618357960923376,0.205252251318671,0.0345067144864232,0.0876885321354296,0.21711607615665,0.142475189406231,0.206682629744372,0.134373732026222,0.158382813293884,0.486370631767879,0.313384594531249,1.12495151781591,0.121956236622686,0.984181923011959,0.867289730358111,0.623372656691657,0.923619908520771,0.817168218988494,0.606574185667198,0.720318900803668,0.621322913769131,0.733882054293027,0.694411951253922,0.32630923735877,0.485976652800055,0.0749977927961205,0.755168321312654
"435","NsiI.TP585976",1,829048,0.47164193344621,0.627213461773119,0.543589943295432,0.45374565106974,0.142841376808948,0.422953364285222,0.814364915591686,0.884188657572632,0.814366259037168,1.56650270623373,0.588290555203127,0.0848667521652189,0.85076905385774,0.066087582482779,0.337565509533283,0.235931831040852,0.286028992725664,0.3517663957393,0.719711799985115,0.377612737824324,0.153332806368717,0.130560361057022,0.153332332050125,0.0271329674464127,0.258053316383784,0.822494964601453,0.141003841965421,0.858840305048659
"935","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
