"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"21","Trait36","FASTmrMLM","PstI.TP661215","3","54129611","0.0153","5.8874","6.7166","5.4429","0.2237","A","0.0011","0.0043"
"21","Trait36","FASTmrMLM","NsiI.TP821811","4","48427329","-0.0261","7.1268","7.995","10.9556","0.1667","A","",""
"21","Trait36","FASTmrMLM","PstI.TP133136","5","65324990","0.0138","3.4558","4.1786","1.6934","0.2237","C","",""
"21","Trait36","FASTmrMLM","PstI.TP1052140","6","19137861","0.0217","3.0314","3.7287","1.4937","0.1009","A","",""
"21","Trait36","FASTmrMLM","NsiI.TP211131","6","32284894","-0.0235","3.3697","4.0875","1.7549","0.1184","C","",""
"21","Trait36","FASTmrMLM","NsiI.TP383484","9","6111601","0.0122","3.5842","4.3141","1.8518","0.3158","C","",""
"21","Trait36","FASTmrMLM","PstI.TP1264238","10","5451657","0.0183","3.1659","3.8716","1.07","0.0526","C","",""
"21","Trait36","FASTmrMLM","PstI.TP125419","10","50424324","-0.0169","4.8776","5.6687","2.1527","0.2237","G","",""
"21","Trait36","FASTmrMLM","PstI.TP199807","11","1626","-0.0161","4.2856","5.0509","2.1139","0.1316","C","",""
"21","Trait36","FASTmrMLM","NsiI.TP59023","11","9822","0.0147","4.1918","4.9527","2.4413","0.307","A","",""
"21","Trait36","FASTmrMLM","NsiI.TP243305","11","11873","8e-04","3.0658","3.7652","0.0142","0.2237","C","",""
