"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"7","Trait22","FASTmrMLM","PstI.TP661215","3","54129611","0.0924","5.3972","6.2088","6.1574","0.2237","A","0.0366","0.1366"
"7","Trait22","FASTmrMLM","PstI.TP513949","3","61369495","0.0285","4.1536","4.9126","0.5935","0.3553","A","",""
"7","Trait22","FASTmrMLM","NsiI.TP821811","4","48427329","-0.1696","5.5668","6.3846","14.4282","0.1667","A","",""
"7","Trait22","FASTmrMLM","PstI.TP1052140","6","19137861","0.1582","4.4964","5.2712","2.4814","0.1009","A","",""
"7","Trait22","FASTmrMLM","NsiI.TP211131","6","32284894","-0.1461","3.1058","3.8078","2.1179","0.1184","C","",""
"7","Trait22","FASTmrMLM","NsiI.TP383484","9","6111601","0.0757","3.5096","4.2354","2.2288","0.3158","C","",""
"7","Trait22","FASTmrMLM","PstI.TP125419","10","50424324","-0.0995","4.9676","5.7624","2.3196","0.2237","G","",""
"7","Trait22","FASTmrMLM","PstI.TP874146","11","6098","4e-04","3.5814","4.3112","3.7095e-05","0.057","A","",""
"7","Trait22","FASTmrMLM","NsiI.TP434835","11","14151","0.03","6.7517","7.6088","0.4375","0.3289","A","",""
"7","Trait22","FASTmrMLM","NsiI.TP535138","11","15754","-6.7066e-05","3.2504","3.9612","3.3757e-07","0.0482","A","",""
