"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"14","Trait29","FASTmrMLM","NsiI.TP414683","1","4485212","0.0019","20.347","Inf","0.2086","0.4035","A","1e-04","0.0017"
"14","Trait29","FASTmrMLM","NsiI.TP257077","1","6103539","0.005","11.7911","12.7637","1.3413","0.4868","C","",""
"14","Trait29","FASTmrMLM","NsiI.TP481176","1","7350098","0.004","41.8536","Inf","0.3081","0.2456","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP487841","1","12659124","-1e-04","7.2562","8.1281","0","0.0351","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP425431","1","29611471","-3.1357e-05","20.1467","Inf","5.005e-05","0.4868","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP30868","1","51136397","-0.0031","13.7026","14.6993","0.1099","0.114","G","",""
"14","Trait29","FASTmrMLM","PstI.TP537292","1","78162057","-2e-04","19.6129","Inf","0.0013","0.2807","C","",""
"14","Trait29","FASTmrMLM","PstI.TP640960","1","80209769","0.0027","38.2746","Inf","0.0431","0.0395","C","",""
"14","Trait29","FASTmrMLM","PstI.TP360841","2","2832783","5e-04","7.4052","8.2813","0.0052","0.4079","C","",""
"14","Trait29","FASTmrMLM","NsiI.TP765685","2","16612091","-0.0018","43.7157","Inf","0","0.0307","A","",""
"14","Trait29","FASTmrMLM","PstI.TP1044904","2","60586200","0.0019","15.7317","Inf","0.2081","0.4298","A","",""
"14","Trait29","FASTmrMLM","PstI.TP778374","2","70165447","-0.0041","26.9463","Inf","0.402","0.0658","A","",""
"14","Trait29","FASTmrMLM","PstI.TP210905","2","72650615","0.0019","26.5287","Inf","0.216","0.3289","C","",""
"14","Trait29","FASTmrMLM","NsiI.TP436966","3","208286","0.0028","22.276","Inf","0.2974","0.1009","A","",""
"14","Trait29","FASTmrMLM","PstI.TP312198","3","8384639","0.002","3.9984","4.7499","0.2048","0.1886","C","",""
"14","Trait29","FASTmrMLM","PstI.TP661215","3","54129611","0.0084","42.1231","Inf","4.1328","0.2237","A","",""
"14","Trait29","FASTmrMLM","PstI.TP513949","3","61369495","0.0032","14.0521","15.0515","0.6019","0.3553","A","",""
"14","Trait29","FASTmrMLM","PstI.TP964683","3","64769478","-0.0025","4.4921","5.2667","0.0928","0.0439","C","",""
"14","Trait29","FASTmrMLM","PstI.TP622176","3","65129470","0.0019","3.79","4.5309","0.1713","0.5","C","",""
"14","Trait29","FASTmrMLM","GFSSContig11128_893","3","69715214","3e-04","7.4596","8.3372","0.0061","0.4474","T","",""
"14","Trait29","FASTmrMLM","NsiI.TP56457","4","4041209","-0.0021","3.7026","4.4389","0.2568","0.3246","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP821811","4","48427329","-0.0048","4.6948","5.4783","0.9272","0.1667","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP324593","4","54954569","0.0033","16.2022","Inf","0.1851","0.114","C","",""
"14","Trait29","FASTmrMLM","PstI.TP675318","4","60844616","-0.0039","12.5522","13.5379","0.2583","0.1272","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP578970","4","66129633","0.0025","15.7237","Inf","0.234","0.2456","G","",""
"14","Trait29","FASTmrMLM","NsiI.TP515167","4","68022596","-6e-04","38.7194","Inf","0.0104","0.0833","C","",""
"14","Trait29","FASTmrMLM","NsiI.TP604676","5","62326679","0.0028","15.8333","Inf","0.2914","0.1404","A","",""
"14","Trait29","FASTmrMLM","PstI.TP1052140","6","19137861","0.004","18.6081","Inf","0.1284","0.1009","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP211131","6","32284894","-0.0086","24.2121","Inf","0.594","0.1184","C","",""
"14","Trait29","FASTmrMLM","NsiI.TP614958","6","45639721","-5e-04","12.8482","13.8373","0.0039","0.1184","A","",""
"14","Trait29","FASTmrMLM","NsiI.TP144538","8","2605496","0.0039","13.6432","14.6536","0.8408","0.3991","A","",""
