"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD"
"1547","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2262","PstI.TP863331",1,161269,0.675638758875911,0.377184564250661,0.910219146990039,0.47398192241056,0.133827391963277,0.545743724673097,0.593282668035007,0.454487061733617,0.102856408678325,0.0730354093307937,0.819370302852943,0.500067206285719,0.063324815654805,0.319665227380743,0.211038281207856,0.419580634861641,0.122964812814344,0.335751589675116,0.734805854815857,0.284614010718773,0.255104037368331,0.351166386119557,0.789120982537552,0.845209929852016,0.151575739995979,0.316178834128055,0.864321237564112,0.478999182949211
"1406","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2409","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","NsiI.TP148773",1,285352,0.170610756388493,0.218059273504157,0.0719974749887803,0.025854381999466,0.0514877632506507,0.191167419025758,0.316982746277715,0.311143347714293,0.191901776963719,0.0952045717906455,0.0398214680730281,0.237052606898933,0.128786066697706,0.0381527493026807,0.675132855600703,0.605258262084575,0.847232339980169,0.942205463019249,0.888203002113595,0.643920988341848,0.481966944906482,0.488491096322612,0.642833088443603,0.803147715192765,0.912385830360851,0.579358513401195,0.743385239014396,0.915898295302956
"495","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1408","PstI.TP425356",1,569039,0.747626709164462,0.972678920553496,0.59797378126805,0.973750340247232,0.627249784085284,0.344500344611178,0.389662217057089,0.151734452941174,0.114058319052685,1.19335295010812,0.487383381959107,0.936570032542464,0.714142457367702,0.362523220331801,0.178802378162459,0.106493004361562,0.252363312178708,0.106230606196751,0.235912099656679,0.452376103373475,0.407697250830384,0.705124081565444,0.769027164861736,0.0640688678759178,0.325549189195036,0.115725740247465,0.193133469628732,0.433987059129522
"2562","PstI.TP999740",1,569491,0.193307547250926,0.0077036347002193,0.08488005360084,0.0357818144116656,0.0596760504976069,0.0917952574651083,0.601650214969736,0.551842051865869,0.702915836360358,0.010742547547311,0.19025604777935,0.0280373285610631,1.12965274027094,0.164679178783861,0.640755662380654,0.982418122663685,0.822469773868577,0.920912113405096,0.871613502606788,0.809477426935892,0.250235997553118,0.280645412891913,0.198191107095024,0.975567788948666,0.64527368169979,0.937481424882919,0.0741903226361676,0.684417051880926
"578","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1929","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1278","PstI.TP354591",1,1050082,0.119887363172636,0.0924049463282052,0.114009486638842,0.112242172744663,0.15466539724762,1.65744770367999,0.392375544313613,0.432541158305929,0.0632468566922531,0.208182235469296,0.808779099125039,1.49491436491712,0.113870911533548,0.217803855268808,0.758774342098653,0.808341830856406,0.769113639743838,0.772249840465771,0.700381397949466,0.022006566895586,0.405158034562097,0.369367637543187,0.864476403328128,0.619181204276608,0.155317682168889,0.0319952593662757,0.769359088428283,0.605614332614299
"2247","PstI.TP856852",1,1153760,0.0965552613642616,0.0709798672155273,0.296019766561118,0.0714098542803953,0.0198136024532797,0.553130969099999,0.162630107743268,0.239586784625484,0.229840363035096,0.563611636963221,1.71420964970138,2.05804805159235,0.272395200530877,0.214669857411374,0.800653743644914,0.849219841789687,0.505801640327772,0.848379460766883,0.955402553194159,0.279813736510383,0.687653871246428,0.575987708019996,0.589060140934737,0.27314192324625,0.0193103591089524,0.00874886969857893,0.534078136258001,0.610000432016911
"2059","PstI.TP775725",1,1175417,0.656704604909598,0.427544260889049,0.690696755825731,0.612125694430667,0.230682582254137,0.00504116224666321,0.375796550697595,0.271284174677268,1.10760135270097,0.266804721210976,0.591240143373317,1.48969229017122,0.893868291203766,0.566450281005957,0.220442534237274,0.373642043913241,0.203846492989304,0.244272347216496,0.587918894505534,0.988459404454237,0.420923767871579,0.535446180947649,0.078054626028792,0.540997525652801,0.256306639563398,0.0323823013360266,0.127682597402118,0.271362429608755
"2402","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1393","PstI.TP417865",1,2030761,0.534887209467353,0.28945825368482,0.998797124636786,0.726165625917764,0.0989523728476932,0.632382751140682,0.157912466833199,0.0379424286797186,0.00249573811147243,0.250158501497729,0.331770746308988,2.51139132367912,0.250980802108874,0.250806579871648,0.291818479678242,0.513501535179749,0.100277356210619,0.187860024258896,0.796246666474723,0.233140245181193,0.695164415640844,0.916341954984788,0.994269831033857,0.562136128755601,0.465831930188805,0.00308041107627904,0.561072777581825,0.561297903546566
"2313","PstI.TP885267",1,2084430,0.162819059495235,0.0586471919576496,0.56786834337388,0.158607031109997,0.0919253814375987,1.27942349000935,0.288376225399189,0.236550127559797,0.263242714803089,0.262487502564915,0.057351446921383,1.22352737243701,0.676561354428101,2.82464570575577,0.687354753602338,0.873680832744138,0.270477819492774,0.694053532364732,0.809234926410399,0.0525504585500021,0.514782499919641,0.580029219962468,0.545452937798064,0.546402273150219,0.876291407199887,0.059768537296713,0.210590436888034,0.00149745677215934
