"","SNP","Chromosome","Position","GLM.GFW_50.","MLM.GFW_50.","CMLM.GFW_50.","SUPER.GFW_50.","rrBLUP.GFW_50","Adj.P.GLM.GFW_50.","Adj.P.MLM.GFW_50.","Adj.P.CMLM.GFW_50.","Adj.P.SUPER.GFW_50.","Adj.P.rrBLUP.GFW_50"
"85","PstI.TP856852",1,1153760,0.00946133752677652,0.0667392239608002,0.0667392239608002,8.09756675646103e-05,0.0209749365058684,0.314973314650963,0.999458702373626,0.999458702373626,0.0264558054108622,1
"135","PstI.TP396517",1,1727743,0.217408727520998,0.270856112261628,0.270856112261628,5.78794687622617e-05,0.803174349781811,0.726727819558783,0.999458702373626,0.999458702373626,0.0252967597107587,1
"167","NsiI.TP412045",1,2102732,0.000560860264635558,0.010937779068992,0.010937779068992,9.31068331547652e-05,0.767038221889008,0.198256856740054,0.999458702373626,0.999458702373626,0.0276981705595904,1
"252","PstI.TP218456",1,2917050,0.0215135019038401,0.0814719686865967,0.0814719686865967,0.000298139499691946,0.803987544039589,0.388325026535925,0.999458702373626,0.999458702373626,0.0498113808559396,1
"310","PstI.TP637101",1,3390212,0.000639993251623749,0.018042061995896,0.018042061995896,5.73187659770531e-05,1,0.201494265504442,0.999458702373626,0.999458702373626,0.0252967597107587,1
"372","PstI.TP346636",1,4227896,0.0272390328823735,0.170738181877981,0.170738181877981,0.000223191035121699,0.100595757074565,0.412156426383782,0.999458702373626,0.999458702373626,0.0435379355430912,1
"586","NsiI.TP476261",1,6164220,0.00414303148574115,0.038064779758201,0.038064779758201,5.74774138021359e-05,1,0.27297880757802,0.999458702373626,0.999458702373626,0.0252967597107587,1
"646","NsiI.TP750756",1,6898016,0.00453067749422257,0.0180575273784872,0.0180575273784872,7.04839048709119e-05,0.109897111177083,0.27297880757802,0.999458702373626,0.999458702373626,0.0252967597107587,1
"942","PstI.TP91211",1,10530796,0.00299115102169546,0.00927643363604284,0.00927643363604284,8.99702538179005e-06,0.599740516553161,0.260735889060255,0.999458702373626,0.999458702373626,0.0154611739037162,1
"1127","NsiI.TP195180",1,12857502,0.000510351326952619,0.00508934691908929,0.00508934691908929,3.34979056745558e-05,0.281356040209182,0.198256856740054,0.999458702373626,0.999458702373626,0.0219794985451522,1
"1580","PstI.TP1040925",1,23057306,0.00197730871228557,0.0719811520965186,0.0719811520965186,0.000276213808888071,0.814658069654799,0.236969303432432,0.999458702373626,0.999458702373626,0.0491092255716646,1
"1816","PstI.TP643290",1,53455562,0.00194201276176346,0.0389645628902087,0.0389645628902087,0.000182282762421189,0.21036263343069,0.236969303432432,0.999458702373626,0.999458702373626,0.0389351322654405,1
"1960","PstI.TP1248141",1,57379416,0.0549275069623423,0.114815709298526,0.114815709298526,3.29983597033285e-05,0.00407121502608992,0.503039745401951,0.999458702373626,0.999458702373626,0.0219794985451522,1
"2098","PstI.TP1185674",1,60148122,0.0348608734393284,0.399352060065042,0.399352060065042,4.56043567167398e-05,1,0.441072604342538,0.999458702373626,0.999458702373626,0.0233068906253178,1
"2119","NsiI.TP123778",1,60586278,0.000762254303961117,0.0101810317425451,0.0101810317425451,1.80429364057925e-05,0.933531032677414,0.201494265504442,0.999458702373626,0.999458702373626,0.0194670011484915,1
"2167","NsiI.TP119595",1,61467903,0.00634612191962737,0.038226053877416,0.038226053877416,0.0002359263142487,0.136477345009108,0.290234288985734,0.999458702373626,0.999458702373626,0.0452878129181228,1
"2201","NsiI.TP761443",1,62177665,0.00329223215098846,0.0148482005091842,0.0148482005091842,4.46982754799429e-05,0.303754437246832,0.262854145718742,0.999458702373626,0.999458702373626,0.0233068906253178,1
"2263","NsiI.TP154359",1,63371844,0.0214218848303689,0.100710517463125,0.100710517463125,5.5758570181219e-05,0.329901353894243,0.388088845260217,0.999458702373626,0.999458702373626,0.0252967597107587,1
"2298","PstI.TP816739",1,64060896,0.295950965140027,0.84386151892825,0.84386151892825,0.00019942643794899,0.354307168821706,0.784513149483128,0.999458702373626,0.999458702373626,0.0404320297342874,1
"2853","PstI.TP549992",1,70753172,0.00676199466334945,0.0364119230318199,0.0364119230318199,0.000200875669972802,1,0.291530779914531,0.999458702373626,0.999458702373626,0.0404983306032317,1
"2862","NsiI.TP632002",1,70863814,9.49197148621685e-05,1.639224882667e-05,1.639224882667e-05,7.71120351256565e-05,0.117166680384772,0.198256856740054,0.591563475656867,0.591563475656867,0.0259144278666461,1
"3027","NsiI.TP607427",1,72380263,0.0240937045449818,0.701904335108757,0.701904335108757,4.29846482633483e-05,0.92728543707981,0.396453417780571,0.999458702373626,0.999458702373626,0.0233068906253178,1
"3051","NsiI.TP469911",1,72682614,0.0111707078312089,0.0140356207021416,0.0140356207021416,4.76207089742826e-05,0.938647323247095,0.323196503290052,0.999458702373626,0.999458702373626,0.0235415910337522,1
"3128","PstI.TP354576",1,73254845,0.0117027935073738,0.100988423909204,0.100988423909204,0.00012743639278898,0.38556196597778,0.329458358602021,0.999458702373626,0.999458702373626,0.0314994831710186,1
"3376","NsiI.TP670301",1,75616619,0.103761650732265,0.837939691141067,0.837939691141067,0.000122299579522742,0.993686914621481,0.602996948293335,0.999458702373626,0.999458702373626,0.0314508881001548,1
"3448","NsiI.TP499936",1,76362441,0.0468412748912719,0.262977671415731,0.262977671415731,6.84872546638609e-05,1,0.478231636417385,0.999458702373626,0.999458702373626,0.0252967597107587,1
"3455","NsiI.TP528762",1,76435180,0.00679563418275266,0.0112966559263392,0.0112966559263392,7.07891460541173e-05,1,0.291530779914531,0.999458702373626,0.999458702373626,0.0252967597107587,1
"3970","PstI.TP1044533",10,781197,0.000357855437124826,0.017090746717645,0.017090746717645,0.00017792686626471,0.149734163472933,0.198256856740054,0.999458702373626,0.999458702373626,0.0389351322654405,1
"4137","PstI.TP14467",10,3103147,0.00197378492987959,0.0107165577345027,0.0107165577345027,4.55399179772944e-05,0.557529877246765,0.236969303432432,0.999458702373626,0.999458702373626,0.0233068906253178,1
"4148","NsiI.TP736628",10,3220056,0.0524903092388128,0.12598397166448,0.12598397166448,2.16054295245689e-05,0.101167833313855,0.495607139261033,0.999458702373626,0.999458702373626,0.0195098062769658,1
