"","ID","Method","Trait.name","SNP","Chromosome","Position","P.value"
"1",1,"GLM","GS","PstI.TP1286999",1,9623485,0.000000068184075273033
"2",2,"GLM","GS","NsiI.TP693777",1,69767711,0.00000000292137374234532
"3",3,"GLM","GS","PstI.TP1133587",10,42973263,0.00000000000120000878717515
"4",4,"GLM","GS","PstI.TP914537",10,57752412,0.0000000521508059580282
"5",5,"GLM","GS","PstI.TP48643",11,411,0.00000000333667163927542
"6",6,"GLM","GS","PstI.TP103677",11,848,0.0000000879064210590388
"7",7,"GLM","GS","PstI.TP125880",11,1053,0.0000000230240251418488
"8",8,"GLM","GS","PstI.TP389870",11,3038,0.0000000852751687844031
"9",9,"GLM","GS","PstI.TP471886",11,3583,0.0000000889356383743846
"10",10,"GLM","GS","PstI.TP512725",11,3867,0.00000000906085090617302
"11",11,"GLM","GS","PstI.TP716571",11,4957,0.0000000196900201198119
"12",12,"GLM","GS","PstI.TP780329",11,5383,0.0000000289243582040722
"13",13,"GLM","GS","PstI.TP972893",11,6749,0.0000000476859156467115
"14",14,"GLM","GS","PstI.TP1031387",11,7167,0.00000000144091404848455
"15",15,"GLM","GS","PstI.TP1078462",11,7529,0.00000000716154341193695
"16",16,"GLM","GS","NsiI.TP43574",11,9672,0.0000000217072681601085
"17",17,"GLM","GS","NsiI.TP73196",11,9976,0.00000000150423542103515
"18",18,"GLM","GS","NsiI.TP149692",11,10781,0.00000000344983059637527
"19",19,"GLM","GS","NsiI.TP251198",11,11959,0.00000000468429139821385
"20",20,"GLM","GS","NsiI.TP336234",11,12829,0.0000000296701708893314
"21",21,"GLM","GS","NsiI.TP353473",11,13012,0.000000010464944989766
"22",22,"GLM","GS","NsiI.TP713435",11,17915,0.00000000829381276392005
"23",23,"GLM","GS","NsiI.TP747164",11,18278,0.0000000648555182989347
"24",24,"GLM","GS","NsiI.TP487965",2,5838121,0.0000000543122921758278
"25",25,"GLM","GS","PstI.TP1264070",2,7827620,0.00000000000618289909706338
"26",26,"GLM","GS","PstI.TP615083",2,11176998,0.0000000252246956477673
"27",27,"GLM","GS","PstI.TP674426",2,67595892,0.0000000590638261371997
"28",28,"GLM","GS","NsiI.TP25279",2,69225463,0.00000000836410747289055
"29",29,"GLM","GS","NsiI.TP754476",2,76199690,0.0000000495635909982943
"30",30,"GLM","GS","NsiI.TP776707",2,77323616,0.0000000258241187396611
"31",31,"GLM","GS","PstI.TP1014785",3,3504439,0.000000081028929680116
"32",32,"GLM","GS","PstI.TP1266759",3,52149252,0.0000000158844688535124
"33",33,"GLM","GS","NsiI.TP510537",3,71420877,0.0000000736483770974683
"34",34,"GLM","GS","PstI.TP911629",5,69777042,0.0000000217734844712862
"35",35,"GLM","GS","PstI.TP65187",6,51685319,0.0000000000106000266144549
"36",36,"GLM","GS","PstI.TP643786",7,854183,0.00000000952611232567633
"37",37,"GLM","GS","PstI.TP686737",8,59901113,0.0000000245513042386335
"38",38,"GLM","GS","PstI.TP160468",9,49412675,0.0000000873796037539527
"39",39,"MLM","GS","PstI.TP1286999",1,9623485,0.000000012407757573996
"40",40,"MLM","GS","PstI.TP787741",1,13021367,0.0000000921785338349724
"41",41,"MLM","GS","NsiI.TP545512",1,65564544,0.000000744723413599883
"42",42,"MLM","GS","NsiI.TP693777",1,69767711,0.000000479472785255501
"43",43,"MLM","GS","PstI.TP735061",1,72976269,0.00000032803622343618
"44",44,"MLM","GS","NsiI.TP698768",10,41665601,0.000000522680443636833
"45",45,"MLM","GS","PstI.TP1133587",10,42973263,0.000000000196566727566839
