"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","filename"
"17","PstI.TP271714",1,262844,0.00024743806240833,0.277876274063989,124,0.526591011961707,0.585542818798857,0.0281689110289963,-0.479524590173902,"GAPIT.MLM.GS.GWAS.Results.csv"
"422","NsiI.TP82287",1,4640346,2.77960215297475e-06,0.0374365471705724,124,0.526591011961707,0.626774739201762,0.00165835833339752,-0.924118000982667,"GAPIT.MLM.GS.GWAS.Results.csv"
"532","NsiI.TP530878",1,5870812,0.000293256718718925,0.0172617153802009,124,0.526591011961707,0.584062747781861,0.0323216788437439,0.891292612153641,"GAPIT.MLM.GS.GWAS.Results.csv"
"539","PstI.TP751807",1,5899520,8.45087464087862e-06,0.0556324984247754,124,0.526591011961707,0.616189162633863,0.0031119914697962,-0.727910519640308,"GAPIT.MLM.GS.GWAS.Results.csv"
"695","PstI.TP1223757",1,7405753,8.29711009093556e-05,0.141989589181168,124,0.526591011961707,0.595206845239979,0.0141908108512646,0.375686066809205,"GAPIT.MLM.GS.GWAS.Results.csv"
"780","PstI.TP983141",1,8569458,0.000114160710778093,0.0693702795600027,124,0.526591011961707,0.592358899984934,0.0174569141125415,-0.48616427404455,"GAPIT.MLM.GS.GWAS.Results.csv"
"883","PstI.TP1286999",1,9623485,1.2407757573996e-08,0.0207155029809305,124,0.526591011961707,0.681734881498732,7.46285258883946e-05,1.91944655334647,"GAPIT.MLM.GS.GWAS.Results.csv"
"1007","NsiI.TP48159",1,11432982,0.000103991025277426,0.119406870025238,124,0.526591011961707,0.59318942059108,0.0166655191359512,0.482874261802944,"GAPIT.MLM.GS.GWAS.Results.csv"
"1109","PstI.TP544906",1,12628073,0.000579952872325628,0.196462168161269,124,0.526591011961707,0.578184796687334,0.0497071026314438,0.369088391224165,"GAPIT.MLM.GS.GWAS.Results.csv"
"1130","PstI.TP787741",1,13021367,9.21785338349724e-08,0.048350833500979,124,0.526591011961707,0.660698860969247,0.000255887609925883,1.33525240989508,"GAPIT.MLM.GS.GWAS.Results.csv"
"1220","NsiI.TP423901",1,14565704,1.9213878113752e-05,0.266790284591302,124,0.526591011961707,0.608525211063199,0.00517593080691977,0.413814212568262,"GAPIT.MLM.GS.GWAS.Results.csv"
"1484","NsiI.TP352570",1,20251715,0.000400397161994734,0.0743845356204881,124,0.526591011961707,0.581365825486355,0.0398058754326886,-0.42406385315673,"GAPIT.MLM.GS.GWAS.Results.csv"
