"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","mrMLM","NsiI.TP440500","9","59299455","-0.2795","3.8706","4.615659","31.99","0.4274","C","0.0813","0.091"
"1","Trait1","FASTmrMLM","PstI.TP108989","1","2588793","-0.2065","3.5111","4.237","10.1304","0.4563","C","0.0627","0.091"
"1","Trait1","FASTmrMLM","PstI.TP1098610","1","14727981","7.3556e-05","4.3361","5.1037","2.5362e-06","0.0278","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP624872","4","60455775","-0.19","3.7736","4.5136","6.1585","0.4722","G","",""
"1","Trait1","FASTmrMLM","NsiI.TP440500","9","59299455","-0.2098","3.4709","4.1945","17.5229","0.4286","C","",""
"1","Trait1","FASTmrMLM","NsiI.TP507205","11","15353","-0.1287","3.3857","4.1045","2.4437","0.4683","C","",""
"1","Trait1","pLARmEB","PstI.TP108989","1","2588793","-0.2113","6.7838","7.6419","9.9543","0.4563","C","0.0619","0.091"
"1","Trait1","pLARmEB","PstI.TP701371","1","9558859","0.1463","4.4564","5.2295","7.6238","0.4325","C","",""
"1","Trait1","pLARmEB","PstI.TP699168","8","2542291","-0.18","3.2128","3.9213","5.8805","0.4683","C","",""
"1","Trait1","pLARmEB","NsiI.TP440500","9","59299455","-0.2627","3.7757","4.5159","25.7851","0.4286","C","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP108989","1","2588793","-0.2696","6.3995","7.2457","15.0525","0.4563","C","0.0557","0.091"
"1","Trait1","ISIS EM-BLASSO","NsiI.TP440500","9","59299455","-0.2428","4.8393","5.6289","20.4509","0.4286","C","",""
