"","Name","Chromosome","Position","OWA","rrBLUP.OWA"
"1820","PstI.TP506588",1,80675,0,1
"2551","PstI.TP863331",1,161269,0.0522840428011377,0.88657597268167
"1671","PstI.TP424788",1,263370,0,1
"2703","PstI.TP931820",1,284314,0,1
"25","NsiI.TP148773",1,285352,0.135194181110007,0.732496946951838
"721","PstI.TP1106845",1,416796,0,1
"2854","PstI.TP999740",1,569491,0.000841371174250478,0.998064546686497
"376","NsiI.TP585976",1,829048,0.105465563983683,0.784394312498518
"805","PstI.TP1152021",1,865447,0,1
"2216","PstI.TP716618",1,918921,0,1
"985","PstI.TP1246584",1,1015480,1.40581732129062,0.039281012966458
"1533","PstI.TP354591",1,1050082,0.304419834161099,0.496112495688057
"2540","PstI.TP856852",1,1153760,0.397745029961693,0.400179622346921
"2344","PstI.TP775725",1,1175417,0.85746925533776,0.138845159799454
"446","NsiI.TP72077",1,1422420,0,1
"488","NsiI.TP796534",1,1682668,0,1
"2695","PstI.TP929619",1,1952038,0,1
"1658","PstI.TP417865",1,2030761,0.083981387278283,0.824173436166596
"415","NsiI.TP666080",1,2031570,0.232556634338872,0.585387393674822
"2601","PstI.TP885267",1,2084430,0.515951194773627,0.304823752578663
"1941","PstI.TP56795",1,2315051,0,1
"2779","PstI.TP966432",1,2596832,0,1
"1702","PstI.TP441536",1,2816855,1.15807262775714,0.0694908097284557
"688","PstI.TP1085601",1,2820903,0.66996638828561,0.213812756098524
"1851","PstI.TP525202",1,2884119,0.407165192640589,0.391592898541526
"1029","PstI.TP1268585",1,2988383,0.512445540406473,0.307294268150801
"1990","PstI.TP59735",1,3027630,0,1
"2523","PstI.TP849876",1,3050119,0.245817980683976,0.567782521698905
"1229","PstI.TP209693",1,3305106,0,1
"2041","PstI.TP626124",1,3342723,1.54386445328879,0.0285848255897272
"638","PstI.TP1059573",1,3357749,0.535891442286015,0.291144478167889
"308","NsiI.TP504485",1,3381640,0,1
"981","PstI.TP1244443",1,3397749,0.793413557702792,0.160911262499222
"909","PstI.TP1199997",1,3471828,0,1
"2301","PstI.TP757375",1,3471897,0,1
"2238","PstI.TP726521",1,3535515,1.63686090259485,0.0230748612036819
"1573","PstI.TP374511",1,3576636,0.0711061796469901,0.848972886256059
"1027","PstI.TP1267977",1,3576713,0.378383092926743,0.418424308498167
"811","PstI.TP1155202",1,3620639,0,1
"2767","PstI.TP961085",1,3705536,0.259669075890645,0.549959773095221
"1246","PstI.TP21889",1,3705780,0.136675126019454,0.730003385079331
"632","PstI.TP1053336",1,3955998,0.345616628913745,0.451214836228109
"188","NsiI.TP403662",1,3957731,2.31348359133903,0.00485865887739973
"2613","PstI.TP891020",1,4033768,0.437149490510155,0.365468970196801
"2044","PstI.TP629259",1,4276027,1.45945186828737,0.0347174750218069
"2043","PstI.TP629254",1,4276045,0,1
"1088","PstI.TP140451",1,4460094,0.178925906919917,0.662329491197948
"1636","PstI.TP403850",1,4535788,0,1
"269","NsiI.TP468762",1,4620729,1.33945662204683,0.0457660444382407
"1419","PstI.TP307588",1,4762662,0.0260374411059241,0.94180839846593
"2674","PstI.TP920636",1,4777048,0.212380570227896,0.613224403966845
"2745","PstI.TP947391",1,4891496,0,1
"2138","PstI.TP683907",1,4900973,0.604646780053554,0.248515350609179
"1631","PstI.TP402429",1,4990016,2.13910692200295,0.00725927214323327
"757","PstI.TP1126882",1,5115206,0,1
"2139","PstI.TP684655",1,5379329,0.13425449115446,0.734083578268046
"349","NsiI.TP556033",1,5459542,0.286718570471614,0.51675112350241
"163","NsiI.TP367540",1,5460609,0,1
"2692","PstI.TP928135",1,5502147,0,1
"1779","PstI.TP476949",1,5536792,0.731354921161042,0.185628681030723
"2122","PstI.TP677745",1,5751851,0.981898806126268,0.104256032547432
"2260","PstI.TP739422",1,5776555,0,1
"2183","PstI.TP705967",1,5858828,0.394364503709097,0.40330675519294
"1000","PstI.TP1252197",1,5912854,0.784496170805172,0.164249414155872
"826","PstI.TP116123",1,5967108,0.175889220472825,0.666976879504352
"2410","PstI.TP804275",1,5979740,0,1
"1848","PstI.TP523933",1,6018181,1.08537990829848,0.0821523690278444
"2227","PstI.TP722242",1,6187691,0,1
"288","NsiI.TP488601",1,6409370,0.330734843749691,0.466944383780816
"553","PstI.TP1015835",1,6514843,0.0523889861183773,0.886361765531504
"1912","PstI.TP547229",1,6574881,0.413081829670114,0.386294184731778
"1343","PstI.TP272307",1,6679965,0.746791636308124,0.179146514831072
"2501","PstI.TP841428",1,6731433,0,1
"777","PstI.TP1136661",1,6752030,0,1
"1712","PstI.TP444825",1,6930877,0.432571217315865,0.369342073227438
"141","NsiI.TP350497",1,6933742,0,1
"489","NsiI.TP800074",1,6979429,0.322639431407454,0.475730032066405
"2414","PstI.TP806450",1,7007771,1.09990193517273,0.0794507616364076
"1707","PstI.TP443586",1,7215893,0.0225122270418193,0.949484267231723
"1798","PstI.TP488378",1,7260223,0,1
"169","NsiI.TP375218",1,7321465,0.182115107830562,0.657483551153851
"2205","PstI.TP712786",1,7449325,0.255233538160531,0.555605404848297
"852","PstI.TP1173447",1,7571007,0.220662193834015,0.601641528820658
"212","NsiI.TP432315",1,7822652,0.717169914705623,0.191791822165249
"2018","PstI.TP614866",1,7824409,0,1
"2794","PstI.TP973605",1,7933170,0.192244188898716,0.642326457617645
"2793","PstI.TP972953",1,7984963,0.196650769430615,0.635842027952565
"1549","PstI.TP36329",1,8029204,0,1
"1420","PstI.TP308053",1,8330660,0.235925463923122,0.580864100151293
"1670","PstI.TP424566",1,8533790,0.0483478997935724,0.894647803907144
"1406","PstI.TP302093",1,8923298,0.149458345222261,0.708829289609637
"1757","PstI.TP461927",1,9014162,3.56780824828222,0.000270515249196988
"1705","PstI.TP443245",1,9039678,0.300683974872084,0.50039852990038
"1930","PstI.TP550784",1,9140137,0,1
"1967","PstI.TP581769",1,9144035,0,1
"2279","PstI.TP745827",1,9270379,0.260834408104831,0.548486056991692
"1739","PstI.TP456141",1,9284445,0.24860622485269,0.564148938285566
