SNP,Chromosome,Position,P.value,maf,effect
GFSSContig5332_531,1,67375972,0.00898155103674407,NA,0.324347998996144
GFSSContig11183_265,1,78604057,0.000441113164359698,NA,0.727358398975332
GFSSContig18335_922,9,50132778,0.00111795542908829,NA,-0.419233893567299
PstI.TP14830,10, 1993063,0.00580628783858634,NA,0.846516588568915
PstI.TP34509,11,     279,0.00164220508132602,NA,1.66135970672013
PstI.TP87698,1,74157702,0.008981151924925,NA,0.60272817076812
PstI.TP105291,6, 7005695,0.00279014398661996,NA,0.568149167369111
PstI.TP119216,11,     987,0.0060276403314515,NA,2.24924110543376
PstI.TP161018,11,    1326,0.00302950553012193,NA,1.44077018348732
PstI.TP181773,5,59325606,6.08298295336956e-05,NA,-1.61668108077437
PstI.TP191591,11,    1569,0.00860772018618773,NA,-0.538673773420991
PstI.TP199067,2,64174213,0.00873521596555018,NA,1.09159552935983
PstI.TP219505,11,    1791,0.00264968519127882,NA,1.24951129712628
PstI.TP319342,5,71584607,0.00701773733664151,NA,0.514960369216509
PstI.TP320220,11,    2536,0.00103599656614673,NA,0.601627783080797
PstI.TP349853,6,46386872,0.00102257814127264,NA,-0.641065557616999
PstI.TP403112,6,55878438,0.0099479056568801,NA,0.288375288040863
PstI.TP404971,1, 1802717,0.000764103988374236,NA,0.648292854293595
PstI.TP418762,2,74972183,0.00112610693453951,NA,0.404311186357141
PstI.TP422786,9, 8162946,0.00375636613431309,NA,-0.594188980841331
PstI.TP434866,6, 3914949,2.1672758827315e-09,NA,1.11875033582921
PstI.TP437620,11,    3351,0.00590032411050992,NA,-0.413139723577623
PstI.TP451152,10,53319182,0.00827519752310314,NA,-1.73414953573519
PstI.TP454159,4, 9277223,0.00929675588243509,NA,-0.281298293008826
PstI.TP526898,8, 1029534,0.00950677092163579,NA,10.4971942991551
PstI.TP531337,11,    3970,0.00376881033446912,NA,-0.364649983113027
PstI.TP548129,10,58739589,0.000197847205866906,NA,2.0105097247533
PstI.TP571307,9,52687086,0.0091198558450595,NA,0.409391120690547
PstI.TP621527,11,    4364,0.00174907849648454,NA,-0.428521828492433
PstI.TP628022,11,    4405,0.00196545172222615,NA,-0.643562375528755
PstI.TP629259,1, 4276027,0.00694062741816769,NA,0.379329387889632
PstI.TP635213,9,48201342,0.00485420977038389,NA,2.74385748600052
PstI.TP702483,11,    4867,0.00461396576628332,NA,1.5779071636674
PstI.TP705137,11,    4886,0.00257339855293824,NA,-0.624774217112567
PstI.TP727957,8,58629331,2.89583791058969e-07,NA,-1.4012135247292
