SNP,Chromosome,Position,P.value,maf,effect
PstI.TP36233,7,62232379,0.00013448261200591,NA,4.55526151503567
PstI.TP43961,9, 9052425,0.00704493812493537,NA,12.7592198395736
PstI.TP91283,9,57061948,0.00928357084961821,NA,-3.36636975906517
PstI.TP94813,11,     788,0.00581940803595651,NA,4.50480681783773
PstI.TP126486,2,15706808,0.00484012305679239,NA,-2.76725998915737
PstI.TP152122,1,14611936,0.00713552177144659,NA,-4.39837677316348
PstI.TP170658,4,45392020,0.00241456551247622,NA,4.16822962667158
PstI.TP210243,9,55242138,0.00262034051117232,NA,4.92026378150121
PstI.TP248986,3,73178542,0.000327953650108537,NA,4.78744107873567
PstI.TP253271,4, 2475378,0.00678052772459399,NA,-3.44425702428461
PstI.TP254470,3,72123437,0.00182066792446841,NA,-13.0140290519269
PstI.TP264832,8,51552413,9.67340079536159e-05,NA,31.4083102659007
PstI.TP335275,8, 3237002,0.00884952228027023,NA,-4.08946459163321
PstI.TP345375,11,    2721,0.00642952077615919,NA,2.89116129002293
PstI.TP347988,10,   19420,0.00729757795485149,NA,-2.62290238770735
PstI.TP389408,9,47932157,0.00825562668472683,NA,-10.8845745797572
PstI.TP475426,6,51284047,0.00457178324387602,NA,-4.59357126963426
PstI.TP481716,4,66430705,0.00368184757948992,NA,-4.64089268591402
PstI.TP589466,11,    4216,0.00585109643784414,NA,3.52951097687375
PstI.TP633359,11,    4454,0.00220478166318955,NA,6.95809477637141
PstI.TP678449,3, 6895124,0.00333805499498929,NA,6.36360749655708
PstI.TP721601,1,20117900,0.00996753962011741,NA,-4.23221108062906
PstI.TP805253,7,55448868,0.00591963749744658,NA,-49.1534361791487
PstI.TP898136,3,72148923,0.00715021838970931,NA,-3.61308636438353
PstI.TP922855,3,73053768,0.00763633781964234,NA,-3.29893990869044
PstI.TP923358,11,    6461,0.0084061569103006,NA,393.030418789873
PstI.TP934421,10,12341138,0.00420661638119012,NA,-2.89257326477648
PstI.TP943663,6,51672811,0.00888258276258733,NA,-5.85309790375398
PstI.TP1057670,11,    7365,0.00494651889376962,NA,-2.83901322235917
PstI.TP1105907,7,53011045,1.64826703810616e-13,NA,-16.0446699653771
PstI.TP1115006,4, 2397430,0.0032883781567146,NA,4.16641482726157
PstI.TP1143540,1,72294378,0.00502178260934498,NA,-4.02083595130845
PstI.TP1167044,1,67636497,0.00538198737860206,NA,-5.10599048895399
NsiI.TP125551,11,   10506,0.00504467145149901,NA,18.6765638731545
NsiI.TP148533,2,62053428,0.00603658982541005,NA,2.78848074657881
NsiI.TP173290,11,   11048,0.00452901904773079,NA,-6.9121088213102
NsiI.TP175218,9,53558385,0.0091997668146265,NA,-550.949991487782
NsiI.TP195480,10,60214800,2.92383519560381e-06,NA,8.43340801440614
NsiI.TP201413,11,   11367,0.00754007757281088,NA,-6.25151830575437
NsiI.TP215547,6,51882366,0.00210851259419585,NA,-3.93986033290361
NsiI.TP230267,1,70245183,0.00977108725229559,NA,-3.66299206774126
NsiI.TP242160,11,   11861,0.00204789994632792,NA,-2.7050773163891
NsiI.TP251927,1, 5599747,0.00717685218465747,NA,-3.66617311292972
NsiI.TP328489,11,   12739,0.00442031614374454,NA,-2.65220041173686
NsiI.TP345981,6, 4907495,1.00774271229458e-07,NA,-5.36314581925309
NsiI.TP350017,3,71628516,4.86821843337325e-08,NA,-942.16603282146
NsiI.TP366710,11,   13175,0.00183022778167916,NA,-242.816183878978
NsiI.TP372179,11,   13245,0.00978150340725542,NA,3.08810468527549
NsiI.TP462316,1,73808021,0.00651824121467041,NA,6.55366617414653
NsiI.TP504944,7, 5647121,0.00207851306265987,NA,-9.61699718228417
NsiI.TP507609,11,   15363,0.00922079763285312,NA,-7.12688510138816
NsiI.TP555417,6,45167930,0.00777840214265611,NA,4.21160442155698
NsiI.TP566948,11,   16142,0.00602783605240259,NA,-2.75330357885589
NsiI.TP635561,4,11782837,0.00351854566028532,NA,-127.626876788832
NsiI.TP664576,1, 4800417,0.00600516951015891,NA,2.40945346488491
NsiI.TP685353,4,51461330,0.00327562317557938,NA,-616.792622162
NsiI.TP697615,2,13689231,3.62519714304212e-07,NA,-5.18967858488258
NsiI.TP707549,9,56825848,0.00318115063928511,NA,-4.59639178959087
NsiI.TP709767,3,54092447,0.00794776123575828,NA,-3.18063779326785
NsiI.TP711967,11,   17902,0.00887579991570233,NA,-313.687432775638
NsiI.TP716235,3,  401571,0.00229411345485564,NA,10.672395392746
NsiI.TP722533,4,65465199,0.00777915239584834,NA,-5.23937455605539
NsiI.TP777325,11,   18700,0.00702807395655726,NA,2.83809749351552
NsiI.TP782832,11,   18761,1.60660143750937e-46,NA,284.944712117967
NsiI.TP795454,11,   18876,0.0039972195026238,NA,-328.96450343317
