"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"fprind","mrMLM","NsiI.TP30868",1,51136397,0.000000188025607269304
"2",2,"fprind","mrMLM","PstI.TP572438",3,71178778,0.0000246970453947379
"3",3,"fprind","mrMLM","PstI.TP622176",3,65129470,0.00000000024636215821502
"4",4,"fprind","mrMLM","NsiI.TP821811",4,48427329,0.000000000661737886452728
"5",5,"fprind","mrMLM","NsiI.TP825923",6,52448208,0.0000000000918601182198978
"6",6,"fprind","mrMLM","NsiI.TP607068",8,1666575,0.0000263523894430772
"7",7,"fprind","FASTmrMLM","PstI.TP661215",3,54129611,0.00000047763924149642
"8",8,"fprind","FASTmrMLM","NsiI.TP324593",4,54954569,0.0000824327901675981
"9",9,"fprind","FASTmrMLM","PstI.TP133136",5,65324990,0.0000000940805830036588
"10",10,"fprind","FASTmrMLM","NsiI.TP383484",9,6111601,0.0000010060046774725
"11",11,"fprind","FASTmrMLM","NsiI.TP616446",9,56031936,0.0000942974611459899
"12",12,"fprind","FASTmrMLM","PstI.TP187918",11,1532,0.00000280027059501063
"13",13,"fprind","FASTmrMLM","PstI.TP1020545",11,7078,0.00000449883432456539
"14",14,"fprind","FASTmrMLM","NsiI.TP767179",11,18585,0.000130647167972202
"15",15,"fprind","pLARmEB","PstI.TP312198",3,8384639,0.00000141318819200706
"16",16,"fprind","pLARmEB","NsiI.TP324593",4,54954569,0.00000606456981510137
"17",17,"fprind","pLARmEB","PstI.TP133136",5,65324990,0.0000000124997118057837
"18",18,"fprind","pLARmEB","PstI.TP187918",11,1532,0.00000455617083799016
"19",19,"fprind","pLARmEB","PstI.TP1020545",11,7078,0.0000472171750310879
"20",20,"fprind","pLARmEB","NsiI.TP646295",11,17132,0.0000989464005130076
"21",21,"fprind","ISIS EM-BLASSO","PstI.TP874146",11,6098,0.0000501071844287176
"22",22,"fprind","ISIS EM-BLASSO","PstI.TP1020545",11,7078,0.0000000513570417848356
"23",23,"fprind","ISIS EM-BLASSO","PstI.TP1159423",11,8140,0.00000888587091587928
"24",24,"fprind","ISIS EM-BLASSO","NsiI.TP767179",11,18585,0.000000688493746547515
"25",25,"fprind","FarmCPU","NsiI.TP632002",1,70863814,0.000000000000000630966719778559
"26",26,"fprind","FarmCPU","NsiI.TP728788",11,18071,0.000000000000356713705775774
