SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,effect
PstI.TP820348,1,64116607,6.95597570813978e-06,0.0163934426229508,122,0,0.18268140615039,-0.690187905356811
PstI.TP360841,2, 2832783,2.15811696746162e-05,0.39344262295082,122,0,0.161637991910854,0.187347530726694
PstI.TP947391,1, 4891496,3.77333914702322e-05,0.040983606557377,122,0,0.151431769540354,0.369651509879784
PstI.TP809778,10, 8543510,6.00450007645223e-05,0.0327868852459016,122,0,0.143036772825058,0.439357053835294
PstI.TP548709,2,61335066,6.68640436056425e-05,0.0573770491803279,122,0,0.141104779297144,0.264202452599879
PstI.TP457393,1,60097068,8.44169848078827e-05,0.233606557377049,122,0,0.136933431420033,-0.146496793121228
PstI.TP152056,5,64031521,0.00010402139168426,0.0614754098360656,122,0,0.133214613192827,0.319616790881824
PstI.TP1124649,11,    7892,0.000104592392265736,0.0778688524590164,122,0,0.133117358246552,-0.258862466201354
PstI.TP118856,3,37389858,0.000107714944131132,0.0163934426229508,122,0,0.132594932294648,0.588008541305523
NsiI.TP502082,10, 1262753,0.000122871076791875,0.0286885245901639,122,0,0.130261197751375,-0.390940766812154
PstI.TP985838,3,58380810,0.000159658464590013,0.0737704918032787,122,0,0.125638915290397,-0.270330736994991
NsiI.TP51047,2,13453548,0.000168272719677875,0.0368852459016393,122,0,0.124714783839895,-0.319361007850735
PstI.TP644170,5,13189719,0.000171377077875296,0.0286885245901639,122,0,0.124393565876409,0.436106128294654
PstI.TP993272,2,58286678,0.000207206838197089,0.459016393442623,122,0,0.121065499241284,-0.364747528879253
PstI.TP288641,1,27158173,0.000207978744418803,0.0532786885245902,122,0,0.121000462330304,-0.299433143485578
PstI.TP1118313,8, 3139823,0.000218041476218816,0.491803278688525,122,0,0.12017452615158,-0.139873835024225
NsiI.TP66747,11,    9923,0.000226744752512207,0.0409836065573771,122,0,0.119491039371631,0.362367991671592
NsiI.TP560012,11,   16067,0.000234474854932177,0.311475409836066,122,0,0.118906124098343,-0.138367133289758
PstI.TP374544,3,63699323,0.000240957960666182,0.0204918032786885,122,0,0.118430584537899,-0.499166204630807
PstI.TP1059365,4, 3535002,0.00025627497563509,0.0204918032786885,122,0,0.117357177966239,0.496898935973555
PstI.TP938416,11,    6563,0.000264217036344459,0.0450819672131147,122,0,0.11682617835123,-0.271337696904113
PstI.TP325958,3,54129415,0.00027721777508468,0.327868852459016,122,0,0.115991260712339,-0.124460795461423
NsiI.TP550633,11,   15924,0.000277567638469286,0.0245901639344263,122,0,0.115969349907652,-0.34720576781095
NsiI.TP95031,6,54950661,0.000308343676317018,0.0245901639344263,122,0,0.114144965698219,-0.449277771702705
PstI.TP318872,4,54744673,0.000314512135159003,0.483606557377049,122,0,0.113801809681521,0.132021842986111
PstI.TP641744,2,61738293,0.000363899735106918,0.225409836065574,122,0,0.111279968784945,-0.138880065363811
PstI.TP705967,1, 5858828,0.000378728251112625,0.0819672131147541,122,0,0.110590946324273,0.221592136690626
PstI.TP788586,6,57442567,0.000430236261858015,0.336065573770492,122,0,0.108395633594636,0.20167875107662
PstI.TP704666,4,61217735,0.000447613866658011,0.0204918032786885,122,0,0.107715335001057,0.476049382515496
PstI.TP1147160,7,44396170,0.000482827069715287,0.450819672131148,122,0,0.106416125589291,-0.314998094678137
PstI.TP1021466,1,68344473,0.00055880722893006,0.0409836065573771,122,0,0.10391570569167,-0.262791476754645
PstI.TP731882,3,19716780,0.000652381284359002,0.0614754098360656,122,0,0.101276822535694,0.278681850879853
PstI.TP181697,8, 2683686,0.000685245234077442,0.0163934426229508,122,0,0.100441307841894,0.511771799699437
PstI.TP865412,3,66830234,0.000816794917568346,0.0163934426229508,122,0,0.097464536163922,-0.504131090474708
PstI.TP976293,2,66188757,0.000917535585144009,0.122950819672131,122,0,0.0955005867034784,0.150346221881286
PstI.TP769847,9, 2435845,0.000927442097317609,0.0122950819672131,122,0,0.0953195469893553,-0.573255259202508
PstI.TP532426,7,64966356,0.000934815797211008,0.487704918032787,122,0,0.095186077968563,0.110302992243383
PstI.TP504809,4, 5155593,0.00094216516442098,0.401639344262295,122,0,0.0950541204691636,0.180975972777862
NsiI.TP440927,1,20252244,0.000955180041640112,0.0819672131147541,122,0,0.094823010889418,0.23918445895317
PstI.TP552710,11,    4086,0.000973030945511392,0.0204918032786885,122,0,0.0945112302254072,0.445917941036708
PstI.TP318422,3,54362877,0.00102451455589691,0.479508196721311,122,0,0.0936438822533646,0.113919990756799
NsiI.TP469220,11,   14746,0.00104598647332419,0.0245901639344263,122,0,0.0932952920735427,-0.311419056152504
PstI.TP1101676,9,55031033,0.00110100370354688,0.348360655737705,122,0,0.0924346014331068,-0.117295664912098
PstI.TP1181476,5, 2299991,0.00114865235426128,0.254098360655738,122,0,0.0917241522962583,-0.138139837785699
NsiI.TP252602,1,68982448,0.00115362483064872,0.0327868852459017,122,0,0.091651763036555,0.312379600908549
NsiI.TP436966,3,  208286,0.00116895123996326,0.0983606557377049,122,0,0.0914306412075884,0.218735057692965
NsiI.TP529124,3,63127607,0.00123602943967288,0.131147540983607,122,0,0.0904966807474951,-0.181853412372784
PstI.TP308053,1, 8330660,0.00123959387224187,0.10655737704918,122,0,0.090448518869751,-0.179061427524554
PstI.TP990909,8,62111760,0.0012543633457179,0.163934426229508,122,0,0.0902504616816536,0.157112098792126
PstI.TP819138,3,57316499,0.00136438821516279,0.0204918032786885,122,0,0.0888463945209572,0.43234768921192
PstI.TP1149663,11,    8066,0.00144144105801531,0.0122950819672131,122,0,0.0879307328993326,0.550588846440897
