"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"8","Trait23","FASTmrMLM","PstI.TP134953","1","5571436","-3e-04","21.9678","Inf","0.1883","0.4483","G","0","1e-04"
"8","Trait23","FASTmrMLM","NsiI.TP257077","1","6103539","4e-04","14.6446","15.6536","0.3468","0.4353","C","",""
"8","Trait23","FASTmrMLM","NsiI.TP102967","1","6105258","-1e-04","14.1558","15.1764","0.0293","0.2284","A","",""
"8","Trait23","FASTmrMLM","PstI.TP662300","1","9383388","9e-04","13.0514","14.0461","0.1044","0.0216","A","",""
"8","Trait23","FASTmrMLM","NsiI.TP736839","1","11973561","2e-04","41.2834","Inf","0.0051","0.0216","C","",""
"8","Trait23","FASTmrMLM","NsiI.TP425431","1","29611471","-3e-04","23.1305","Inf","0.1664","0.3836","A","",""
"8","Trait23","FASTmrMLM","NsiI.TP30868","1","51136397","-6e-04","42.8885","Inf","0.1251","0.0991","G","",""
"8","Trait23","FASTmrMLM","NsiI.TP413314","1","58050134","2e-04","3.0247","3.7215","0.0312","0.1034","A","",""
"8","Trait23","FASTmrMLM","PstI.TP929267","1","63290479","-7e-04","44.0038","Inf","0.3737","0.1552","C","",""
"8","Trait23","FASTmrMLM","PstI.TP820348","1","64116607","1.3368e-05","22.7251","Inf","4.6483e-05","0.0172","A","",""
"8","Trait23","FASTmrMLM","NsiI.TP222587","1","73275339","1.3657e-05","6.886","7.7472","3e-04","0.1638","A","",""
"8","Trait23","FASTmrMLM","PstI.TP134743","1","73610397","-4e-04","14.1749","15.1764","0.0581","0.0474","A","",""
"8","Trait23","FASTmrMLM","PstI.TP640960","1","80209769","5e-04","57.6382","Inf","0.044","0.0388","C","",""
"8","Trait23","FASTmrMLM","PstI.TP360841","2","2832783","-1e-04","6.2745","7.1166","0.0162","0.4095","C","",""
"8","Trait23","FASTmrMLM","NsiI.TP765685","2","16612091","-2e-04","19.6288","Inf","0","0.0302","A","",""
"8","Trait23","FASTmrMLM","PstI.TP40160","2","77518912","3e-04","3.9697","4.7198","0.0384","0.069","G","",""
