"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait13","mrMLM","PstI.TP1154991"," 1","22969451","-2.8855","7.3949","8.270698"," 0.0000","0.0351","C","1.4897","2.8114"
"1","Trait13","mrMLM","PstI.TP189035"," 9"," 1311048","-0.6665","3.7273","4.464916","10.5478","0.2281","C","",""
"1","Trait13","mrMLM","NsiI.TP484341","11","   14956","-1.4202","6.5768","7.428553","37.1409","0.0746","A","",""
"1","Trait13","FASTmrMLM","PstI.TP91633","1","7693586","0.657","4.583","5.3617","11.4045","0.3233","A","1.5807","2.8114"
"1","Trait13","FASTmrMLM","PstI.TP55941","6","51146867","-0.581","3.014","3.7102","8.8114","0.2457","C","",""
"1","Trait13","FASTmrMLM","NsiI.TP304798","10","49051120","-0.7241","5.6299","6.45","13.4773","0.319","G","",""
"1","Trait13","FASTmrMLM","PstI.TP860748","11","6002","-0.5276","4.7621","5.5484","3.507","0.194","C","",""
"1","Trait13","FASTmrMLM","NsiI.TP156483","11","10853","-0.891","3.6577","4.3916","20.9284","0.0905","C","",""
"1","Trait13","pLARmEB","PstI.TP651907","11","4596","-0.7092","4.162","4.9214","3.7071","0.1034","C","1.468","2.8114"
"1","Trait13","pLARmEB","NsiI.TP484341","11","14956","-1.3612","6.7548","7.612","31.5707","0.0733","A","",""
"1","Trait13","ISIS EM-BLASSO","NsiI.TP211798","1","72131324","8.4299e-05","3.0605","3.7596","1.1928e-07","0.0517","A","1.6851","2.8114"
"1","Trait13","ISIS EM-BLASSO","PstI.TP434866","6","3914949","0.8895","8.5198","9.4248","20.6764","0.1552","A","",""
"1","Trait13","ISIS EM-BLASSO","NsiI.TP484341","11","14956","-1.4094","6.071","6.9064","28.4395","0.0733","A","",""
