"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","mrMLM","PstI.TP87709"," 1","55612897","-0.1611","5.4137","6.225868"," 6.2815","0.3510","C","0.0453","0.1291"
"1","Trait1","mrMLM","NsiI.TP540039"," 2","69176258"," 0.1391","4.4125","5.183578"," 3.3403","0.1556","C","",""
"1","Trait1","mrMLM","NsiI.TP694083"," 2","14769883"," 0.1150","3.7780","4.518279"," 8.3502","0.2980","A","",""
"1","Trait1","mrMLM","NsiI.TP807676"," 3","11959108","-0.1121","4.0213","4.773917"," 5.8518","0.3079","C","",""
"1","Trait1","mrMLM","NsiI.TP570570"," 3","71299631"," 0.1290","5.8026","6.628828"," 9.1539","0.4305","A","",""
"1","Trait1","mrMLM","NsiI.TP203685"," 8","62171235","-0.1313","4.2232","4.985543","10.8912","0.2384","A","",""
"1","Trait1","mrMLM","NsiI.TP821519"," 8","  214880","-0.1102","3.8863","4.632159"," 7.7253","0.3113","C","",""
"1","Trait1","mrMLM","NsiI.TP438615","11","   14236"," 0.4432","8.3316","9.231993","19.1404","0.0232","A","",""
"1","Trait1","FASTmrMLM","PstI.TP994295","1","15000089","-0.1752","4.5018","5.2769","1.2273","0.268","C","0.0482","0.1291"
"1","Trait1","FASTmrMLM","PstI.TP1087928","3","67150662","0.1036","5.8331","6.6604","8.2541","0.3987","A","",""
"1","Trait1","FASTmrMLM","PstI.TP754277","5","1988689","-0.1524","5.3093","6.1175","2.2759","0.4608","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP203685","8","62171235","-0.0814","3.1652","3.8708","5.0165","0.2418","A","",""
"1","Trait1","FASTmrMLM","PstI.TP797425","9","3765647","-0.0696","3.46","4.183","1.2476","0.3431","C","",""
"1","Trait1","FASTmrMLM","PstI.TP1207707","11","8514","-0.1303","6.3267","7.1705","9.9903","0.1961","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP494092","11","15132","-0.0782","8.7656","9.6765","4.6983","0.4052","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP606622","11","16617","-0.289","8.9315","9.8463","6.5922","0.0523","C","",""
"1","Trait1","FASTmrMLM","NsiI.TP607518","11","16625","0.118","4.0243","4.7771","5.1131","0.268","A","",""
"1","Trait1","FASTmrEMMA","PstI.TP267968","1","8374215","0.2382","5.5044","6.3199","3.8288","0.1601","C","0.0518","0.1291"
"1","Trait1","FASTmrEMMA","PstI.TP609245","3","54319663","-0.5426","4.6491","5.4307","4.648","0.0294","A","",""
"1","Trait1","FASTmrEMMA","PstI.TP84606","11","711","0.398","6.367","7.2122","10.9244","0.1373","A","",""
"1","Trait1","FASTmrEMMA","PstI.TP1268638","11","8934","-0.3021","5.3123","6.1206","8.7103","0.2124","C","",""
"1","Trait1","FASTmrEMMA","NsiI.TP218318","11","11572","-0.259","7.0497","7.9156","9.9222","0.4837","G","",""
"1","Trait1","FASTmrEMMA","NsiI.TP606622","11","16617","-0.435","4.6097","5.3895","5.3489","0.0523","C","",""
"1","Trait1","FASTmrEMMA","NsiI.TP697010","11","17706","0.1382","3.056","3.7548","2.211","0.2876","A","",""
"1","Trait1","pLARmEB","PstI.TP52665","1","27201505","0.0897","3.0047","3.7003","2.3389","0.2876","A","0.0473","0.1291"
"1","Trait1","pLARmEB","PstI.TP909443","2","65572055","0.1239","4.6863","5.4694","11.1932","0.2451","G","",""
"1","Trait1","pLARmEB","PstI.TP920125","2","68619167","0.1473","7.0311","7.8965","2.0166","0.2647","A","",""
"1","Trait1","pLARmEB","NsiI.TP821519","8","214880","-0.1554","10.8756","11.8314","17.476","0.3105","C","",""
"1","Trait1","pLARmEB","NsiI.TP203685","8","62171235","-0.1229","3.2705","3.9825","10.8467","0.2418","A","",""
"1","Trait1","pLARmEB","NsiI.TP494092","11","15132","-0.0522","4.3973","5.1677","1.9797","0.4052","A","",""
"1","Trait1","pLARmEB","NsiI.TP606622","11","16617","-0.189","4.7775","5.5645","2.6727","0.0523","C","",""
"1","Trait1","pKWmEB","PstI.TP681685"," 2","68785398"," 0.1000"," 4.3803"," 5.1499"," 6.2471","0.3311","C","0.0552","0.1291"
"1","Trait1","pKWmEB","NsiI.TP203685"," 8","62171235","-0.1206"," 4.7033"," 5.4871","12.8917","0.2384","A","",""
"1","Trait1","pKWmEB","PstI.TP377620"," 9"," 2735069"," 0.2095"," 4.6388"," 5.4199","19.8335","0.0464","A","",""
"1","Trait1","pKWmEB","PstI.TP996763"," 9","55211916"," 0.0741"," 3.7284"," 4.4661"," 2.4968","0.1391","C","",""
"1","Trait1","pKWmEB","PstI.TP1268638","11","    8934","-0.1972","10.6132","11.5639","10.9789","0.2152","C","",""
"1","Trait1","pKWmEB","NsiI.TP606622","11","   16617","-0.2335"," 5.6598"," 6.4810"," 4.0687","0.0530","C","",""
"1","Trait1","pKWmEB","NsiI.TP697010","11","   17706"," 0.0431"," 3.0569"," 3.7558"," 4.4300","0.2881","A","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP267968","1","8374215","0.1217","4.5272","5.3034","2.8053","0.1601","C","0.0455","0.1291"
"1","Trait1","ISIS EM-BLASSO","NsiI.TP540039","2","69176258","0.1104","5.9202","6.7505","2.5184","0.1634","C","",""
