Name,Chromosome,Position,P.value,maf,effect
PstI.TP863331,1,161269,0.238072642015463,0.0679999999999999,-0.190445717047839
NsiI.TP148773,1,285352,0.695867350932966,0.12,0.0479342287465723
PstI.TP425356,1,569039,0.56182866912231,0.052,-0.0985280219129263
PstI.TP999740,1,569491,0.852988825579602,0.1,0.0246569972140932
PstI.TP354591,1,1050082,0.184608413328487,0.308,0.135747783796958
PstI.TP856852,1,1153760,0.242204998498831,0.2,0.160669122946666
PstI.TP775725,1,1175417,0.036813758641623,0.0600000000000001,-0.337460336851212
PstI.TP417865,1,2030761,3.83332846356636e-08,0.344,0.651548713927616
PstI.TP885267,1,2084430,0.527244732357208,0.076,-0.11023630778811
PstI.TP1294018,1,2280325,0.992974794838419,0.084,-0.00132714437070497
PstI.TP441536,1,2816855,0.18500652741691,0.364,-0.103585853836025
PstI.TP525202,1,2884119,0.578187355045664,0.0679999999999999,0.0765618098753186
PstI.TP1268585,1,2988383,0.0863622951547929,0.368,0.22906324574073
PstI.TP849876,1,3050119,0.380126429915092,0.096,-0.107483513837482
PstI.TP626124,1,3342723,0.517857158788036,0.056,0.137871689351592
PstI.TP1059573,1,3357749,0.133046069839657,0.16,-0.217039382982036
PstI.TP1244443,1,3397749,0.633445395883651,0.144,-0.0578018884845079
PstI.TP726521,1,3535515,0.726492188252429,0.0639999999999999,-0.0671756829334327
PstI.TP374511,1,3576636,0.0963325900701066,0.132,0.206914252862617
PstI.TP1267977,1,3576713,0.266466940969786,0.108,-0.147966102271566
PstI.TP961085,1,3705536,0.968859608718327,0.4,0.00322970236797929
PstI.TP21889,1,3705780,0.964015783980798,0.216,-0.00459610124132614
PstI.TP1053336,1,3955998,0.652282253764395,0.096,0.0635506980407972
PstI.TP891020,1,4033768,0.783278092105789,0.064,0.0412278233804948
PstI.TP140451,1,4460094,0.904445619617513,0.216,0.0134231598027442
NsiI.TP468762,1,4620729,0.300524125474276,0.084,-0.153408430200785
PstI.TP307588,1,4762662,0.159353690795684,0.088,0.201043903472287
