SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
NsiI.TP620354,1,    2563,0.618580266191766,0.0304805507849011,114,NA,NA,0.932734998097478,NA
PstI.TP453248,1,    3988,0.81614947673909,0.0785848841689776,114,NA,NA,0.974940817320554,NA
GFSSContig17137_1860,1,   35412,0.00424445167568505,0.0478522853065718,114,NA,NA,0.364721443948795,NA
GFSSContig17137_940,1,   36536,0.00451170142952467,0.0522875816993464,114,NA,NA,0.368248234494782,NA
PstI.TP1112203,1,   63590,0.0161439454209553,0.446396646729394,114,NA,NA,0.476761622218849,NA
PstI.TP506588,1,   80675,0.390881012873415,0.454910063113128,114,NA,NA,0.862522158240733,NA
PstI.TP989644,1,   80828,0.540875918136857,0.0973380051171611,114,NA,NA,0.909092735956541,NA
PstI.TP312105,1,   81356,0.0860036746451165,0.344025241160789,114,NA,NA,0.659259163591525,NA
NsiI.TP481742,1,  154583,0.525365166353981,0.0425412598924102,114,NA,NA,0.905735741973253,NA
PstI.TP863331,1,  161269,0.84298030167015,0.280106166671024,114,NA,NA,0.97956830006029,NA
NsiI.TP71772,1,  180079,0.748878110393987,0.0361144124594949,114,NA,NA,0.963001592694017,NA
NsiI.TP611047,1,  185165,0.396549308359848,0.343332056460988,114,NA,NA,0.864132900431822,NA
NsiI.TP611046,1,  185173,0.216461338690245,0.362920876357722,114,NA,NA,0.776914018750994,NA
PstI.TP1169914,1,  194807,0.861828324431994,0.440283120419251,114,NA,NA,0.981316165932914,NA
NsiI.TP96063,1,  195779,0.00715708275005872,0.337966385540691,114,NA,NA,0.407951904274842,NA
NsiI.TP521153,1,  258294,0.756048195583521,0.284843040657433,114,NA,NA,0.963745124457252,NA
PstI.TP271714,1,  262844,0.967295113765861,0.248082731921141,114,NA,NA,0.993966748173299,NA
PstI.TP424788,1,  263370,0.221694643065855,0.386389475836977,114,NA,NA,0.781356581107407,NA
PstI.TP811380,1,  281841,0.0133830014620471,0.303650351264135,114,NA,NA,0.456678960045801,NA
PstI.TP931820,1,  284314,0.722241633381034,0.152767050332588,114,NA,NA,0.958064011340229,NA
NsiI.TP426085,1,  284999,0.242814979379766,0.410201429481734,114,NA,NA,0.794736751042392,NA
NsiI.TP148773,1,  285352,0.704626916682756,0.238064637855741,114,NA,NA,0.954384239184797,NA
NsiI.TP148774,1,  285397,0.333188734992819,0.360032562455551,114,NA,NA,0.837088603674997,NA
PstI.TP301730,1,  298129,0.000163107981725314,0.486648129442089,114,NA,NA,0.18019114575003,NA
PstI.TP710662,1,  335281,0.0576927875974054,0.0656597038638697,114,NA,NA,0.602063190171107,NA
NsiI.TP579900,1,  335878,0.104361869381174,0.044794646003241,114,NA,NA,0.685347164244132,NA
NsiI.TP443857,1,  339059,0.0755130053646973,0.0437454705185966,114,NA,NA,0.642061514689706,NA
PstI.TP1043924,1,  365760,0.644285159448725,0.138040020043324,114,NA,NA,0.939447321316701,NA
PstI.TP1043926,1,  365816,0.663317723606934,0.209482748683138,114,NA,NA,0.944523783527776,NA
NsiI.TP414280,1,  378096,0.316067380963667,0.181811266096578,114,NA,NA,0.830444370474474,NA
NsiI.TP807695,1,  389941,0.882297196857739,0.159489371126316,114,NA,NA,0.98463948416779,NA
NsiI.TP687955,1,  398596,0.0326807176609293,0.468016230572526,114,NA,NA,0.543293254083463,NA
PstI.TP948856,1,  403321,0.0330746366892561,0.472040932337234,114,NA,NA,0.544524401843921,NA
PstI.TP1037554,1,  403777,0.578027315561173,0.0481028851983876,114,NA,NA,0.920230871416284,NA
NsiI.TP122940,1,  430012,0.544788508919067,0.165447762850875,114,NA,NA,0.910544287175619,NA
NsiI.TP703893,1,  450123,0.103437334131806,0.221632673786887,114,NA,NA,0.685207260991485,NA
PstI.TP1026667,1,  480929,0.97499177867214,0.488118154745073,114,NA,NA,0.994974400452877,NA
NsiI.TP413787,1,  481003,0.413435637953597,0.171079957303948,114,NA,NA,0.869866585006755,NA
NsiI.TP591161,1,  512907,0.142777678568111,0.436085134828264,114,NA,NA,0.729264965012357,NA
NsiI.TP260303,1,  526218,0.132779085374666,0.233282963453804,114,NA,NA,0.718719951252365,NA
NsiI.TP160827,1,  542721,0.758060473822103,0.128353350744706,114,NA,NA,0.964274348657964,NA
PstI.TP425356,1,  569039,0.229649212320965,0.0615379390408124,114,NA,NA,0.786056960461595,NA
PstI.TP999740,1,  569491,0.899329973257279,0.386415229904582,114,NA,NA,0.987455265931789,NA
PstI.TP184304,1,  572620,0.584202547282741,0.126964348061209,114,NA,NA,0.922123897449672,NA
PstI.TP1132231,1,  588023,0.793235278270963,0.270307284798353,114,NA,NA,0.970859376826881,NA
PstI.TP536170,1,  662254,0.10748385848627,0.237345992662631,114,NA,NA,0.686034824280034,NA
PstI.TP854736,1,  683267,0.448072850701182,0.0533643308308753,114,NA,NA,0.880252922552183,NA
NsiI.TP35313,1,  692280,0.0186602211371298,0.268279749803546,114,NA,NA,0.485515544626345,NA
PstI.TP83381,1,  713539,0.34622661716696,0.29656763991901,114,NA,NA,0.844327189625703,NA
PstI.TP94792,1,  731905,0.94379410845319,0.309672721776601,114,NA,NA,0.993071261598829,NA
PstI.TP968891,1,  748410,0.088540905127404,0.240916045513981,114,NA,NA,0.66517501321502,NA
NsiI.TP802651,1,  754114,0.388581225445065,0.13155442613899,114,NA,NA,0.861764656696768,NA
PstI.TP1039014,1,  759496,0.0832379456061465,0.367928532662187,114,NA,NA,0.655660062834899,NA
PstI.TP1248576,1,  760805,0.580577200077212,0.302734045588585,114,NA,NA,0.920542857523176,NA
NsiI.TP241552,1,  773227,0.650311240215248,0.129563762987373,114,NA,NA,0.940241668144546,NA
NsiI.TP241535,1,  773253,0.297775868410525,0.400059129089946,114,NA,NA,0.821193301176755,NA
NsiI.TP282375,1,  773642,0.158411952251728,0.396076492369137,114,NA,NA,0.738130515299624,NA
NsiI.TP559422,1,  781613,0.352747530773281,0.372687973889866,114,NA,NA,0.847300732617069,NA
PstI.TP579974,1,  783866,0.358518672945877,0.408154135092663,114,NA,NA,0.848451799801181,NA
PstI.TP1090052,1,  815564,0.976131108165828,0.238187395774176,114,NA,NA,0.995048851859268,NA
PstI.TP1216290,1,  817784,0.693236456087268,0.328654684119447,114,NA,NA,0.952045508534759,NA
NsiI.TP199750,1,  819727,0.42259137198977,0.17360787452543,114,NA,NA,0.87324256526712,NA
NsiI.TP619705,1,  820317,0.418858276582021,0.0882109807785351,114,NA,NA,0.871979087700719,NA
PstI.TP537601,1,  822113,0.201616038830748,0.118015374647297,114,NA,NA,0.766774118381709,NA
NsiI.TP585976,1,  829048,0.212685232212821,0.0360191839847454,114,NA,NA,0.773459502093875,NA
NsiI.TP358960,1,  864806,0.474520060560404,0.407333942947855,114,NA,NA,0.888450716080875,NA
PstI.TP1152021,1,  865447,0.480885661595074,0.436420117167654,114,NA,NA,0.890573988243054,NA
