"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"22","Trait22","pLARmEB","PstI.TP661215","3","54129611","0.1116","5.5176","6.3336","9.0664","0.2198","A","0.0313","0.1359"
"22","Trait22","pLARmEB","NsiI.TP150749","3","69413427","-0.096","3.4207","4.1415","0.4591","0.1293","C","",""
"22","Trait22","pLARmEB","PstI.TP325669","4","67124681","0.0876","3.5834","4.3133","4.4183","0.3233","A","",""
"22","Trait22","pLARmEB","PstI.TP133136","5","65324990","0.1389","8.9529","9.8682","5.2681","0.194","C","",""
"22","Trait22","pLARmEB","NsiI.TP383484","9","6111601","0.1011","5.6924","6.5147","3.5761","0.1983","C","",""
"22","Trait22","pLARmEB","NsiI.TP616446","9","56031936","-0.0691","3.5819","4.3117","3.3069","0.4569","C","",""
"22","Trait22","pLARmEB","PstI.TP108730","11","899","-0.1324","5.9497","6.781","7.6463","0.2112","G","",""
"22","Trait22","pLARmEB","PstI.TP187918","11","1532","0.1344","9.131","10.0504","11.5438","0.25","G","",""
"22","Trait22","pLARmEB","PstI.TP1020545","11","7078","0.0868","5.8687","6.6972","4.7481","0.3405","A","",""
"22","Trait22","pLARmEB","NsiI.TP767179","11","18585","0.0814","3.2973","4.0109","4.8164","0.2328","A","",""
