"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"27","Trait27","pLARmEB","NsiI.TP35313","1","692280","2e-04","39.2795","Inf","0","0","C","0","3e-04"
"27","Trait27","pLARmEB","PstI.TP134953","1","5571436","-6e-04","78.1519","Inf","0.1218","0.4483","G","",""
"27","Trait27","pLARmEB","NsiI.TP257077","1","6103539","0.001","21.6613","Inf","0.3798","0.4353","C","",""
"27","Trait27","pLARmEB","PstI.TP662300","1","9383388","0.0011","69.4545","Inf","0.0334","0.0216","A","",""
"27","Trait27","pLARmEB","NsiI.TP736839","1","11973561","3e-04","10.1668","11.1085","0.0021","0.0216","C","",""
"27","Trait27","pLARmEB","PstI.TP770895","1","13263569","4e-04","38.4874","Inf","0.0022","0.1207","A","",""
"27","Trait27","pLARmEB","PstI.TP929267","1","63290479","-4e-04","57.6691","Inf","0.0261","0.1552","C","",""
"27","Trait27","pLARmEB","NsiI.TP222587","1","73275339","-1e-04","12.533","13.5184","0.006","0.1638","A","",""
"27","Trait27","pLARmEB","PstI.TP134743","1","73610397","-7e-04","54.467","Inf","0.0334","0.0474","A","",""
"27","Trait27","pLARmEB","PstI.TP245404","1","79960134","-8e-04","36.5956","Inf","0","0.1552","C","",""
"27","Trait27","pLARmEB","PstI.TP640960","1","80209769","0.0016","68.9172","Inf","0.0978","0.0388","C","",""
"27","Trait27","pLARmEB","PstI.TP360841","2","2832783","0.0015","8.6161","9.5234","0.337","0.4095","C","",""
"27","Trait27","pLARmEB","NsiI.TP765685","2","16612091","-3e-04","44.4544","Inf","0","0.0302","A","",""
"27","Trait27","pLARmEB","PstI.TP688032","2","65120135","-1e-04","24.2772","Inf","0.0011","0.0172","A","",""
"27","Trait27","pLARmEB","PstI.TP800800","2","66545388","-2.2593e-05","11.1973","12.1592","1.9639e-05","0.0388","C","",""
"27","Trait27","pLARmEB","PstI.TP778374","2","70165447","-0.0014","81.2854","Inf","0.39","0.0603","A","",""
"27","Trait27","pLARmEB","PstI.TP1270963","2","75367949","5e-04","4.0543","4.8085","0","0.0474","A","",""
"27","Trait27","pLARmEB","PstI.TP702471","2","76427378","-1e-04","57.0549","Inf","1e-04","0.0216","A","",""
