SNP,Chromosome,Position,P.value,maf,effect
NsiI.TP758763,1,57499558,0.00325514423615991,NA,-0.789391955881537
PstI.TP457393,1,60097068,0.000394024793133972,NA,-0.629850647351058
PstI.TP1040444,1,61649660,0.000190262263881995,NA,-0.917383604101422
NsiI.TP615624,1,65289533,0.00596663810172492,NA,-0.497469423835647
PstI.TP494387,1,70689700,0.00428877059162366,NA,1.13359236607319
PstI.TP339412,1,72911521,0.00687323678763229,NA,1.02101983670157
PstI.TP52592,1,76810927,0.00174575336231642,NA,0.426728187982537
NsiI.TP420988,2, 7976608,0.00475479949617062,NA,-1.233334901563
PstI.TP745087,3,71534823,0.000392047248153958,NA,-0.373665465132737
PstI.TP397988,4,54041708,0.00659106442787681,NA,-0.472983012151103
PstI.TP858902,4,66143706,0.00546472604635816,NA,0.350846923966367
PstI.TP745785,6,45615805,0.00359043796365588,NA,-0.319721396689455
PstI.TP30142,6,54712768,0.00247954819948992,NA,0.560382469913598
PstI.TP10996,6,57974096,1.89517275871784e-06,NA,-0.774887744782996
PstI.TP1068347,7,62120815,0.00392119831289598,NA,-0.55897282565115
PstI.TP373660,8,62666468,0.00897659133852538,NA,-0.425892137551223
PstI.TP290387,9, 3312855,0.00798692553693075,NA,1.26452400921881
PstI.TP1227790,9,48696731,0.0038917323595983,NA,1.46691636314255
PstI.TP98115,9,51912899,0.00799710425469972,NA,0.810304132399684
NsiI.TP648509,10,41353679,0.00230406369128869,NA,-0.739502660087142
PstI.TP31637,11,     249,7.34863136535862e-05,NA,-0.365918497501749
PstI.TP130695,11,    1099,0.00373769766519752,NA,-0.844060817828711
PstI.TP424478,11,    3280,0.00882967488006645,NA,0.844809005987719
PstI.TP834454,11,    5776,2.26405248590331e-05,NA,-1.17209549496979
PstI.TP1002850,11,    6959,0.00558964196036346,NA,-0.952193781519544
NsiI.TP530128,11,   15685,0.00484876239225925,NA,-0.448336739985187
