SNP,Chromosome,Position,P.value,maf,effect
NsiI.TP796534,1, 1682668,0.00618200659936026,NA,0.253780095771713
PstI.TP1053336,1, 3955998,3.33011302113188e-05,NA,-0.193761367066741
PstI.TP488378,1, 7260223,1.17140634808201e-06,NA,0.629897888746733
NsiI.TP134750,1, 9511955,0.00765521591472453,NA,0.221096871026175
PstI.TP1020277,1,23246220,0.00418863596991312,NA,-0.220486845913204
PstI.TP309238,1,27158767,1.45738792405843e-05,NA,-0.637931432865342
PstI.TP286748,1,49731278,0.00531376823381347,NA,0.17831998635353
PstI.TP378778,1,54121051,0.00416845600756847,NA,-0.0756735573858021
PstI.TP1167747,1,56262223,0.00143011428076345,NA,0.171357472703241
PstI.TP1152180,1,57665941,0.00106798609245053,NA,-0.55188179501133
PstI.TP1185674,1,60148122,0.000205400585683477,NA,-0.218941199819597
PstI.TP420801,1,62946889,0.00148968804498254,NA,-0.0984019825090495
PstI.TP424159,1,63417435,0.0029529436772755,NA,-0.103756621823598
NsiI.TP117758,1,66087512,0.00213813311186393,NA,-0.305439603916617
NsiI.TP475064,1,66777724,0.0081737811616209,NA,-0.196480371428364
PstI.TP678255,1,67745947,0.00738099699313193,NA,0.0682103154358064
PstI.TP209249,1,67863639,0.00154180748586747,NA,0.242759341272911
PstI.TP222462,1,69790547,0.00950993369158185,NA,-0.0863252116724429
PstI.TP590182,1,71928782,0.000118382045328342,NA,-0.17488749893208
PstI.TP91130,1,72585815,0.00152440082384971,NA,-0.098270282987199
PstI.TP544748,1,73791429,0.00120576750540882,NA,-0.164104560022611
PstI.TP189129,1,73890221,0.000363151558391608,NA,-0.153148298785891
PstI.TP304860,1,74969305,0.00157685635686268,NA,-0.387343922048498
PstI.TP1014264,1,75579176,0.00033837535904409,NA,0.136999884091851
NsiI.TP806896,1,78145059,2.46518719251114e-14,NA,1.28099241186836
PstI.TP639503,1,78579633,0.000965790859665845,NA,0.321709617039984
PstI.TP199591,2,  465963,0.00835018817740166,NA,0.172797911426005
PstI.TP850631,2,  602280,0.000101730190493279,NA,0.333411769086959
PstI.TP941483,2,21521726,0.000658160742452909,NA,0.170159715009844
PstI.TP243328,2,58674737,0.00727870010364398,NA,0.0610495699430763
PstI.TP192390,2,61333913,0.000437231914387481,NA,-0.298717516301895
PstI.TP577552,2,61335361,0.00156313021609758,NA,-0.269719689743703
PstI.TP6025,2,62661228,0.00473742509018275,NA,-0.29268074181277
PstI.TP460957,2,63153566,0.000165001820181306,NA,0.167555594639738
PstI.TP384804,2,65029446,0.000578025147403707,NA,-0.0986267921170729
PstI.TP393591,2,65650487,0.00870870237387467,NA,-0.19493475962709
NsiI.TP583360,2,66047191,6.18277852307851e-07,NA,0.376375745943127
PstI.TP537688,2,67833294,0.00878115514316413,NA,0.174430836061509
PstI.TP550469,2,70228783,0.00303213625463545,NA,0.2754939078295
PstI.TP876687,2,71285534,4.4316129095448e-12,NA,-0.466542842070333
NsiI.TP430509,2,74026177,1.45738792537018e-05,NA,0.637931432815538
PstI.TP229546,2,74208278,0.00112048116100161,NA,0.200615950782567
PstI.TP547023,2,75564773,0.00205173929926556,NA,-0.142837063726458
PstI.TP187879,2,77384233,0.000574496986642025,NA,0.347954741821475
PstI.TP1184179,3,   25531,0.000444972771519259,NA,0.265217331738715
PstI.TP864763,3, 1256958,0.00273988316731267,NA,-0.202081705149705
PstI.TP1010623,3, 2603844,0.00178674071569173,NA,-0.323866480782618
PstI.TP906726,3, 3716611,0.0012790907236053,NA,-0.186381204561648
PstI.TP1123006,3,15144093,0.00100068029316173,NA,0.148558434516522
PstI.TP671700,3,15764634,0.00419608492031329,NA,0.216888449167148
PstI.TP325958,3,54129415,0.0074365287350899,NA,0.0695613649381994
PstI.TP533617,3,54614431,0.00252018516707097,NA,-0.08378115218863
PstI.TP246552,3,54709176,0.0024148632675948,NA,0.103706910267284
NsiI.TP415908,3,54738061,0.0015278084236827,NA,-0.0813460159575423
PstI.TP508387,3,54826011,1.61421427321585e-11,NA,-0.317256097529924
NsiI.TP723406,3,59263477,1.45738792405843e-05,NA,-0.637931432865342
PstI.TP17994,3,60977256,0.000462373890420384,NA,-0.260515117423051
PstI.TP1002549,3,61933672,0.00833794674932142,NA,-0.0650922739957968
PstI.TP478050,3,63462498,1.08871394221945e-09,NA,0.226235050099629
PstI.TP374544,3,63699323,0.00431399868932493,NA,-0.396578700349597
PstI.TP623942,3,65310848,9.43885114926036e-05,NA,0.289818804633722
PstI.TP827144,3,65732872,0.0089274930763893,NA,-0.107776143725582
PstI.TP1257324,3,65916131,1.24901515332254e-05,NA,-0.238156333442253
PstI.TP1094666,3,66462116,3.00860161214177e-07,NA,-0.303737605419824
PstI.TP180013,3,66851078,0.00196634141856684,NA,0.195594712699029
PstI.TP318338,3,67023794,0.0022477596955295,NA,0.16568263061244
PstI.TP273897,3,67574112,0.00286908080355985,NA,-0.189424800227548
PstI.TP899075,3,68837126,0.000486734053616523,NA,0.203703711685101
